#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
274,Kyle Lowry,MIA,4,22,6.5,2,6.5,30.8,1.3,4,31.3,1.3,1.8,71.4,0.8,2.8,3.5,6,2.3,0.3,2.5,11,2021-21
274,Marcus Smart,BOS,2,25.5,6.5,2,6.5,30.8,0.5,2.5,20,2,2,100,1,1.5,2.5,4.5,0,0,2,7,2021-21
274,Moritz Wagner,ORL,4,15.3,6.5,2,5.5,36.4,1.5,3.8,40,1,1.5,66.7,0,2.3,2.3,0.8,1,0.5,2,5,2021-21
282,Kevin Love,CLE,5,13,6.4,2,4,50,1.4,3.2,43.8,1,1.2,83.3,0.2,2.6,2.8,1.4,0,0.2,1,7.6,2021-21
282,Vlatko Čančar,DEN,5,14,6.4,2.4,4.8,50,1.2,2.6,46.2,0.4,0.4,100,0.4,0.8,1.2,1,0.4,0.2,0.6,6.2,2021-21
284,Danny Green,PHI,3,15.7,6.3,2.3,6,38.9,1.7,5,33.3,0,0,0,1.3,1.7,3,0.7,1,0.3,0,7.7,2021-21
284,DeAndre' Bembry,MIL,3,20.3,6.3,2,4,50,0,1.3,0,2.3,4,58.3,1,3,4,1.3,1.7,0.3,1.3,8.7,2021-21
286,Ayo Dosunmu,CHI,4,8.8,6.3,2.8,5.5,50,0.3,0.8,33.3,0.5,0.5,100,0.5,0.5,1,0.3,0.8,0.5,0.8,5.3,2021-21
286,Carlik Jones,DEN,4,12.8,6.3,2.5,5.8,43.5,0.3,0.8,33.3,1,1,100,0.3,2.3,2.5,2,1.5,0.3,1.5,7.8,2021-21
286,Corey Kispert,WAS,4,17.8,6.3,2.5,6.8,37,1.3,4.5,27.8,0,0,0,0.3,1,1.3,1,0.5,0,0.3,4.5,2021-21
286,Goga Bitadze,IND,4,14,6.3,2,5.5,36.4,1.5,4.3,35.3,0.8,1.3,60,0.3,2.3,2.5,0.3,0.3,1.8,0.8,6.3,2021-21
286,Harry Giles III,LAC,4,13.8,6.3,2.3,5.5,40.9,0,0.5,0,1.8,2,87.5,2,5.5,7.5,1.5,0.3,0.3,1,11.3,2021-21
286,Jakob Poeltl,SAS,4,21.3,6.3,3,5.3,57.1,0,0,0,0.3,1,25,2.8,5,7.8,2.8,0.5,1.5,1,14.8,2021-21
286,Javonte Green,CHI,4,16.5,6.3,2.5,4,62.5,0.5,0.5,100,0.8,0.8,100,1.8,3.3,5,0.5,1.8,1.5,0,13.5,2021-21
286,Monté Morris,DEN,4,21.5,6.3,2.8,6.8,40.7,0.8,2.5,30,0,1.3,0,0,1.5,1.5,3,0.8,0.3,1,5.5,2021-21
286,Royce O'Neale,UTA,4,18.5,6.3,2.5,6,41.7,0.8,3.5,21.4,0.5,0.8,66.7,1.5,2.8,4.3,0.8,1.3,0.3,0.5,8.5,2021-21
295,Justin Robinson,DET,5,17,6.2,2.4,5.8,41.4,1,2.8,35.7,0.4,0.4,100,0.2,1.6,1.8,1.8,0.4,0,0.8,6,2021-21
296,Bol Bol,ORL,5,17.6,6,2,5.4,37,0.2,1.6,12.5,1.8,2.2,81.8,0.8,5,5.8,0.4,0,2.8,2.8,8.4,2021-21
296,Bruce Brown,BKN,4,17.5,6,2.3,4.3,52.9,0.5,1.3,40,1,1,100,0,2.3,2.3,0.8,1,0.3,0.8,7.5,2021-21
296,Derrick Jones Jr.,CHI,2,13,6,2.5,4.5,55.6,0,1.5,0,1,1,100,1,1.5,2.5,1.5,0,0,0,8,2021-21
296,Eric Gordon,HOU,1,21,6,2,3,66.7,2,3,66.7,0,0,0,0,1,1,2,1,0,0,9,2021-21
296,Gabriel Deck,OKC,3,18.3,6,2.3,3.3,70,0.7,1,66.7,0.7,1.3,50,1.3,4.7,6,0.7,0.3,0,0.7,10.7,2021-21
296,Garrison Mathews,HOU,2,12.5,6,1.5,4,37.5,1.5,4,37.5,1.5,2,75,0,2,2,0,0,0,0.5,4.5,2021-21
296,Jae'Sean Tate,HOU,3,21.7,6,2.3,5.3,43.8,0,0.7,0,1.3,1.3,100,0.3,3,3.3,1,0.3,0.7,0.3,8,2021-21
296,Joe Ingles,POR,1,20,6,2,5,40,2,5,40,0,0,0,0,2,2,4,0,0,1,8,2021-21
296,Jordan McLaughlin,MIN,2,15.5,6,2.5,4.5,55.6,1,1.5,66.7,0,0,0,0,2,2,1.5,1.5,0,0.5,8.5,2021-21
296,Killian Hayes,DET,1,22,6,2,9,22.2,1,3,33.3,1,1,100,0,2,2,2,2,0,2,3,2021-21
296,Maxi Kleber,DAL,3,17.7,6,1.7,4.3,38.5,1.3,3.7,36.4,1.3,1.3,100,1,4,5,0.7,0.7,0.7,0,10.3,2021-21
296,Mitchell Robinson,NYK,1,27,6,3,8,37.5,0,0,0,0,0,0,6,3,9,0,2,0,2,10,2021-21
296,Nic Claxton,BKN,3,15,6,2.7,4.3,61.5,0,0,0,0.7,1.3,50,2,2.7,4.7,0.3,0.3,1.3,1,9.3,2021-21
296,Patrick Williams,CHI,1,22,6,2,6,33.3,2,3,66.7,0,0,0,1,2,3,2,2,1,0,10,2021-21
296,Reggie Bullock Jr.,DAL,1,14,6,2,5,40,2,5,40,0,0,0,0,0,0,1,0,0,0,4,2021-21
