#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
448,Maxwell Lewis,LAL,5,12.6,3.4,1.2,3.2,37.5,0.2,0.8,25.0,0.8,0.8,100,0.2,1.6,1.8,0.6,0.2,0.4,0.4, 4.0
448,Yuki Kawamura,MEM,5,15.2,3.4,0.8,3.8,21.1,0.8,3.2,25.0,1.0,1.2,83.3,0.0,0.2,0.2,4.2,0.4,0.0,1.6, 3.4
450,Antonio Reeves,NOP,3,8.3,3.3,1.0,5.0,20.0,0.0,2.3,0.0,1.3,2.0,66.7,0.3,0.7,1.0,0.7,1.0,0.0,0.3, 1.0
450,Steven Adams,HOU,3,14.7,3.3,1.7,2.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,6.0,7.3,1.7,0.0,0.0,0.7, 11.3
452,PJ Dozier,MIN,4,10.8,3.3,0.8,2.3,33.3,0.5,1.5,33.3,1.3,1.3,100,0.3,0.3,0.5,1.0,0.3,0.0,1.3, 2.3
453,Cam Reddish,LAL,5,17.6,3.2,1.0,4.4,22.7,0.6,2.6,23.1,0.6,0.8,75.0,1.0,1.2,2.2,0.6,1.0,0.2,0.8, 2.8
453,Jonathan Mogbo,TOR,5,17.4,3.2,1.2,4.4,27.3,0.0,0.6,0.0,0.8,1.4,57.1,1.8,3.6,5.4,2.8,1.0,0.4,1.0, 8.0
455,Andrew Funk,DEN,1,8.0,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 3.0
455,Baylor Scheierman,BOS,5,11.6,3.0,0.8,4.8,16.7,0.6,3.4,17.6,0.8,0.8,100,0.4,1.4,1.8,0.6,0.6,0.0,0.2, 1.8
455,Cui Yongxi,BKN,2,6.5,3.0,1.0,3.5,28.6,0.5,1.5,33.3,0.5,1.0,50.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5, 1.0
455,De'Andre Hunter,ATL,2,19.5,3.0,1.5,6.5,23.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.5,0.0,0.5, 3.0
455,Dwight Powell,DAL,4,10.5,3.0,1.3,1.8,71.4,0.0,0.3,0.0,0.5,0.5,100,0.3,1.5,1.8,1.3,1.5,0.3,0.3, 7.0
455,Elfrid Payton,NOP,2,10.5,3.0,1.5,2.5,60.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,3.0,4.0,5.0,0.0,1.0,1.0, 10.5
455,Eugene Omoruyi,MIN,1,8.0,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0, 5.0
455,Isaiah Jackson,IND,2,8.5,3.0,1.5,3.5,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,0.5,0.0,2.5,0.5, 6.0
455,Jacob Gilyard,CLE,1,5.0,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0, 4.0
455,Jae'Sean Tate,HOU,4,10.0,3.0,1.0,2.8,36.4,0.5,1.0,50.0,0.5,0.8,66.7,1.3,1.5,2.8,1.0,1.0,0.5,0.3, 6.0
455,Jalen McDaniels,SAC,2,12.5,3.0,1.0,4.5,22.2,0.0,2.5,0.0,1.0,1.0,100,0.5,2.0,2.5,0.0,1.0,0.0,0.5, 2.5
455,Javonte Smart,ORL,1,6.0,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 2.0
455,Joe Ingles,MIN,4,13.3,3.0,1.0,2.8,36.4,1.0,2.8,36.4,0.0,0.0,0.0,0.3,2.3,2.5,2.8,0.8,0.3,0.5, 7.0
455,Kevin Knox II,GSW,2,7.5,3.0,1.5,4.0,37.5,0.0,1.5,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0, 2.5
455,Kyle Lowry,PHI,4,13.3,3.0,0.8,3.8,20.0,0.3,2.0,12.5,1.3,1.8,71.4,0.3,2.0,2.3,3.5,0.8,0.3,1.3, 5.0
455,Miller Kopp,OKC,1,14.0,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0, 8.0
455,Paul Reed,DET,5,11.2,3.0,1.2,4.6,26.1,0.2,1.4,14.3,0.4,0.4,100,0.6,3.4,4.0,2.0,1.4,0.6,0.2, 7.4
455,Seth Lundy,ATL,1,3.0,3.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 1.0
455,Taj Gibson,CHA,3,8.3,3.0,1.3,2.0,66.7,0.0,0.0,0.0,0.3,0.7,50.0,1.3,1.3,2.7,0.3,0.0,0.0,0.0, 5.0
455,Tristan Thompson,CLE,2,15.0,3.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,4.5,5.5,0.5,0.0,0.0,2.0, 5.0
475,Cam Christie,LAC,5,8.0,2.8,0.8,3.2,25.0,0.2,1.8,11.1,1.0,1.2,83.3,0.0,1.2,1.2,0.6,0.4,0.4,0.0, 2.8
475,Maozinha Pereira,MEM,5,9.0,2.8,1.0,2.0,50.0,0.6,1.4,42.9,0.2,0.4,50.0,1.0,3.0,4.0,0.4,0.2,0.0,0.4, 5.8
477,Brandon Boston Jr.,NOP,4,7.3,2.8,1.3,2.8,45.5,0.3,1.0,25.0,0.0,0.3,0.0,0.3,0.8,1.0,0.5,0.0,0.0,0.3, 2.3
477,Jordan Tucker,PHI,4,6.8,2.8,0.8,2.5,30.0,0.8,2.3,33.3,0.5,0.5,100,0.0,1.3,1.3,0.0,0.0,0.3,0.5, 2.0
